barrio,comuna,fecha,anio,mes,trimestre,ambientes_cat,precio_prom,precio_m2_estimado
Almagro,5,NA,2013,Jul,NA,3+ ambientes,3845,51.266666666666666
Almagro,5,NA,2013,Ago,NA,3+ ambientes,4360,58.13333333333333
Almagro,5,NA,2013,Sep,NA,3+ ambientes,4188,55.84
Almagro,5,NA,2013,Oct,NA,3+ ambientes,4187,55.82666666666667
Almagro,5,NA,2013,Nov,NA,3+ ambientes,4113,54.84
Almagro,5,NA,2013,Dic,NA,3+ ambientes,4157,55.42666666666667
Almagro,5,NA,2014,Ene,NA,3+ ambientes,4355,58.06666666666667
Almagro,5,NA,2014,Feb,NA,3+ ambientes,4791,63.88
Almagro,5,NA,2014,Mar,NA,3+ ambientes,4686,62.48
Almagro,5,2014-05-01,2014,May,2,3+ ambientes,5144,68.58666666666667
Almagro,5,NA,2014,Jul,NA,3+ ambientes,5098,67.97333333333333
Almagro,5,NA,2014,Sep,NA,3+ ambientes,5553,74.04
Almagro,5,NA,2014,Oct,NA,3+ ambientes,5683,75.77333333333333
Almagro,5,NA,2014,Nov,NA,3+ ambientes,5770,76.93333333333334
Almagro,5,NA,2014,Dic,NA,3+ ambientes,5916,78.88
Almagro,5,NA,2015,Mar,NA,3+ ambientes,5938,79.17333333333333
Almagro,5,NA,2015,Abr,NA,3+ ambientes,6091,81.21333333333334
Almagro,5,NA,2015,Jun,NA,3+ ambientes,6316,84.21333333333334
Almagro,5,NA,2015,Jul,NA,3+ ambientes,6540,87.2
Almagro,5,NA,2015,Ago,NA,3+ ambientes,7099,94.65333333333334
Almagro,5,NA,2015,Sep,NA,3+ ambientes,6869,91.58666666666667
Almagro,5,NA,2016,Ene,NA,3+ ambientes,8061,107.48
Almagro,5,NA,2016,Mar,NA,3+ ambientes,7986,106.48
Almagro,5,NA,2016,Abr,NA,3+ ambientes,9017,120.22666666666667
Almagro,5,NA,2016,Jul,NA,3+ ambientes,8706,116.08
Almagro,5,NA,2016,Ago,NA,3+ ambientes,9578,127.70666666666666
Almagro,5,NA,2016,Sep,NA,3+ ambientes,9607,128.09333333333333
Almagro,5,NA,2016,Oct,NA,3+ ambientes,9558,127.44
Almagro,5,NA,2016,Nov,NA,3+ ambientes,10869,144.92
Almagro,5,NA,2016,Dic,NA,3+ ambientes,11689,155.85333333333332
Almagro,5,NA,2017,Ene,NA,3+ ambientes,10551,140.68
Almagro,5,NA,2017,Feb,NA,3+ ambientes,11478,153.04
Almagro,5,NA,2017,Mar,NA,3+ ambientes,11208,149.44
Almagro,5,NA,2017,Abr,NA,3+ ambientes,12081,161.08
Almagro,5,2017-05-01,2017,May,2,3+ ambientes,12358,164.77333333333334
Almagro,5,NA,2017,Jun,NA,3+ ambientes,12576,167.68
Almagro,5,NA,2017,Jul,NA,3+ ambientes,12132,161.76
Almagro,5,NA,2017,Ago,NA,3+ ambientes,12609,168.12
Almagro,5,NA,2017,Sep,NA,3+ ambientes,12523,166.97333333333333
Almagro,5,NA,2017,Oct,NA,3+ ambientes,13356,178.08
Almagro,5,NA,2017,Nov,NA,3+ ambientes,13743,183.24
Almagro,5,NA,2017,Dic,NA,3+ ambientes,13603,181.37333333333333
Almagro,5,NA,2018,Ene,NA,3+ ambientes,14608,194.77333333333334
Almagro,5,NA,2018,Feb,NA,3+ ambientes,15628,208.37333333333333
Almagro,5,2018-05-01,2018,May,2,3+ ambientes,17100,228
Almagro,5,NA,2018,Jul,NA,3+ ambientes,16749,223.32
Almagro,5,NA,2018,Ago,NA,3+ ambientes,17607,234.76
Almagro,5,NA,2018,Sep,NA,3+ ambientes,16931,225.74666666666667
Almagro,5,NA,2018,Oct,NA,3+ ambientes,17427,232.36
Almagro,5,NA,2018,Nov,NA,3+ ambientes,18964,252.85333333333332
Almagro,5,NA,2019,Mar,NA,3+ ambientes,20163,268.84
Almagro,5,NA,2019,Abr,NA,3+ ambientes,19954,266.05333333333334
Almagro,5,2019-05-01,2019,May,2,3+ ambientes,20666,275.5466666666667
Almagro,5,NA,2019,Jun,NA,3+ ambientes,20733,276.44
Balvanera,3,NA,2013,Jul,NA,3+ ambientes,3712,49.49333333333333
Balvanera,3,NA,2013,Ago,NA,3+ ambientes,3405,45.4
Balvanera,3,NA,2013,Sep,NA,3+ ambientes,3699,49.32
Balvanera,3,NA,2013,Oct,NA,3+ ambientes,4057,54.093333333333334
Balvanera,3,NA,2013,Nov,NA,3+ ambientes,3814,50.85333333333333
Balvanera,3,NA,2013,Dic,NA,3+ ambientes,3985,53.13333333333333
Balvanera,3,NA,2014,Feb,NA,3+ ambientes,4223,56.306666666666665
Balvanera,3,NA,2014,Mar,NA,3+ ambientes,4435,59.13333333333333
Balvanera,3,2014-05-01,2014,May,2,3+ ambientes,4066,54.21333333333333
Balvanera,3,NA,2014,Oct,NA,3+ ambientes,4521,60.28
Balvanera,3,NA,2015,Jun,NA,3+ ambientes,5917,78.89333333333333
Balvanera,3,2016-05-01,2016,May,2,3+ ambientes,7462,99.49333333333334
Balvanera,3,NA,2016,Sep,NA,3+ ambientes,8001,106.68
Balvanera,3,NA,2016,Oct,NA,3+ ambientes,8519,113.58666666666667
Balvanera,3,NA,2016,Nov,NA,3+ ambientes,9384,125.12
Balvanera,3,NA,2016,Dic,NA,3+ ambientes,9662,128.82666666666665
Balvanera,3,NA,2017,Ene,NA,3+ ambientes,9492,126.56
Balvanera,3,NA,2017,Feb,NA,3+ ambientes,9496,126.61333333333333
Balvanera,3,NA,2017,Mar,NA,3+ ambientes,10356,138.08
Balvanera,3,NA,2017,Abr,NA,3+ ambientes,10698,142.64
Balvanera,3,2017-05-01,2017,May,2,3+ ambientes,10250,136.66666666666666
Balvanera,3,NA,2017,Jun,NA,3+ ambientes,10511,140.14666666666668
Balvanera,3,NA,2017,Jul,NA,3+ ambientes,10736,143.14666666666668
Balvanera,3,NA,2017,Nov,NA,3+ ambientes,12899,171.98666666666668
Balvanera,3,NA,2018,Mar,NA,3+ ambientes,14126,188.34666666666666
Balvanera,3,NA,2018,Abr,NA,3+ ambientes,14700,196
Balvanera,3,2018-05-01,2018,May,2,3+ ambientes,14741,196.54666666666665
Balvanera,3,NA,2018,Jun,NA,3+ ambientes,14153,188.70666666666668
Balvanera,3,NA,2018,Sep,NA,3+ ambientes,16020,213.6
Balvanera,3,NA,2018,Oct,NA,3+ ambientes,15900,212
Balvanera,3,NA,2018,Nov,NA,3+ ambientes,16396,218.61333333333334
Balvanera,3,NA,2019,Mar,NA,3+ ambientes,17994,239.92
Balvanera,3,NA,2019,Abr,NA,3+ ambientes,19500,260
Balvanera,3,2019-05-01,2019,May,2,3+ ambientes,20045,267.26666666666665
Balvanera,3,NA,2019,Jun,NA,3+ ambientes,20521,273.61333333333334
Barracas,4,NA,2013,Oct,NA,3+ ambientes,4355,58.06666666666667
Belgrano,13,NA,2013,Jul,NA,3+ ambientes,4172,55.626666666666665
Belgrano,13,NA,2013,Ago,NA,3+ ambientes,4528,60.373333333333335
Belgrano,13,NA,2013,Sep,NA,3+ ambientes,4429,59.053333333333335
Belgrano,13,NA,2013,Oct,NA,3+ ambientes,4592,61.22666666666667
Belgrano,13,NA,2013,Nov,NA,3+ ambientes,4697,62.626666666666665
Belgrano,13,NA,2013,Dic,NA,3+ ambientes,4778,63.70666666666666
Belgrano,13,NA,2014,Ene,NA,3+ ambientes,4721,62.946666666666665
Belgrano,13,NA,2014,Feb,NA,3+ ambientes,5523,73.64
Belgrano,13,NA,2014,Mar,NA,3+ ambientes,5484,73.12
Belgrano,13,NA,2014,Abr,NA,3+ ambientes,5477,73.02666666666667
Belgrano,13,2014-05-01,2014,May,2,3+ ambientes,5647,75.29333333333334
Belgrano,13,NA,2014,Jun,NA,3+ ambientes,5697,75.96
Belgrano,13,NA,2014,Jul,NA,3+ ambientes,5971,79.61333333333333
Belgrano,13,NA,2014,Ago,NA,3+ ambientes,5906,78.74666666666667
Belgrano,13,NA,2014,Sep,NA,3+ ambientes,6261,83.48
Belgrano,13,NA,2014,Oct,NA,3+ ambientes,6018,80.24
Belgrano,13,NA,2014,Nov,NA,3+ ambientes,6842,91.22666666666667
Belgrano,13,NA,2014,Dic,NA,3+ ambientes,6462,86.16
Belgrano,13,NA,2015,Ene,NA,3+ ambientes,6577,87.69333333333333
Belgrano,13,NA,2015,Feb,NA,3+ ambientes,7192,95.89333333333333
Belgrano,13,NA,2015,Mar,NA,3+ ambientes,6813,90.84
Belgrano,13,NA,2015,Abr,NA,3+ ambientes,6403,85.37333333333333
Belgrano,13,2015-05-01,2015,May,2,3+ ambientes,7915,105.53333333333333
Belgrano,13,NA,2015,Jun,NA,3+ ambientes,7601,101.34666666666666
Belgrano,13,NA,2015,Jul,NA,3+ ambientes,8394,111.92
Belgrano,13,NA,2015,Ago,NA,3+ ambientes,7372,98.29333333333334
Belgrano,13,NA,2015,Oct,NA,3+ ambientes,8099,107.98666666666666
Belgrano,13,NA,2015,Nov,NA,3+ ambientes,8021,106.94666666666667
Belgrano,13,NA,2016,Mar,NA,3+ ambientes,10456,139.41333333333333
Belgrano,13,NA,2016,Abr,NA,3+ ambientes,9948,132.64
Belgrano,13,2016-05-01,2016,May,2,3+ ambientes,10266,136.88
Belgrano,13,NA,2016,Jun,NA,3+ ambientes,11021,146.94666666666666
Belgrano,13,NA,2016,Jul,NA,3+ ambientes,10853,144.70666666666668
Belgrano,13,NA,2016,Ago,NA,3+ ambientes,11680,155.73333333333332
Belgrano,13,NA,2016,Sep,NA,3+ ambientes,11413,152.17333333333335
Belgrano,13,NA,2016,Oct,NA,3+ ambientes,12051,160.68
Belgrano,13,NA,2016,Nov,NA,3+ ambientes,11090,147.86666666666667
Belgrano,13,NA,2016,Dic,NA,3+ ambientes,11604,154.72
Belgrano,13,NA,2017,Ene,NA,3+ ambientes,12757,170.09333333333333
Belgrano,13,NA,2017,Feb,NA,3+ ambientes,13135,175.13333333333333
Belgrano,13,NA,2017,Mar,NA,3+ ambientes,12939,172.52
Belgrano,13,NA,2017,Abr,NA,3+ ambientes,13581,181.08
Belgrano,13,2017-05-01,2017,May,2,3+ ambientes,14026,187.01333333333332
Belgrano,13,NA,2017,Jun,NA,3+ ambientes,14694,195.92
Belgrano,13,NA,2017,Jul,NA,3+ ambientes,14323,190.97333333333333
Belgrano,13,NA,2017,Ago,NA,3+ ambientes,15374,204.98666666666668
Belgrano,13,NA,2017,Sep,NA,3+ ambientes,15108,201.44
Belgrano,13,NA,2017,Oct,NA,3+ ambientes,15298,203.97333333333333
Belgrano,13,NA,2017,Nov,NA,3+ ambientes,16210,216.13333333333333
Belgrano,13,NA,2017,Dic,NA,3+ ambientes,17440,232.53333333333333
Belgrano,13,NA,2018,Ene,NA,3+ ambientes,17399,231.98666666666668
Belgrano,13,NA,2018,Feb,NA,3+ ambientes,18406,245.41333333333333
Belgrano,13,NA,2018,Mar,NA,3+ ambientes,17575,234.33333333333334
Belgrano,13,NA,2018,Abr,NA,3+ ambientes,18239,243.18666666666667
Belgrano,13,2018-05-01,2018,May,2,3+ ambientes,19546,260.61333333333334
Belgrano,13,NA,2018,Jun,NA,3+ ambientes,17348,231.30666666666667
Belgrano,13,NA,2018,Jul,NA,3+ ambientes,18985,253.13333333333333
Belgrano,13,NA,2018,Ago,NA,3+ ambientes,19430,259.06666666666666
Belgrano,13,NA,2018,Sep,NA,3+ ambientes,21166,282.2133333333333
Belgrano,13,NA,2018,Oct,NA,3+ ambientes,19640,261.8666666666667
Belgrano,13,NA,2018,Nov,NA,3+ ambientes,20124,268.32
Belgrano,13,NA,2018,Dic,NA,3+ ambientes,21082,281.0933333333333
Belgrano,13,NA,2019,Ene,NA,3+ ambientes,23230,309.73333333333335
Belgrano,13,NA,2019,Feb,NA,3+ ambientes,22167,295.56
Belgrano,13,NA,2019,Mar,NA,3+ ambientes,23552,314.02666666666664
Belgrano,13,NA,2019,Abr,NA,3+ ambientes,21632,288.4266666666667
Belgrano,13,2019-05-01,2019,May,2,3+ ambientes,23768,316.9066666666667
Belgrano,13,NA,2019,Jun,NA,3+ ambientes,23509,313.4533333333333
Belgrano,13,NA,2019,Jul,NA,3+ ambientes,25017,333.56
Belgrano,13,NA,2019,Ago,NA,3+ ambientes,26634,355.12
Caballito,6,NA,2013,Jul,NA,3+ ambientes,3772,50.29333333333334
Caballito,6,NA,2013,Ago,NA,3+ ambientes,4095,54.6
Caballito,6,NA,2013,Sep,NA,3+ ambientes,4014,53.52
Caballito,6,NA,2013,Oct,NA,3+ ambientes,4323,57.64
Caballito,6,NA,2013,Nov,NA,3+ ambientes,4341,57.88
Caballito,6,NA,2013,Dic,NA,3+ ambientes,4228,56.373333333333335
Caballito,6,NA,2014,Ene,NA,3+ ambientes,4339,57.85333333333333
Caballito,6,NA,2014,Feb,NA,3+ ambientes,4505,60.06666666666667
Caballito,6,NA,2014,Mar,NA,3+ ambientes,4797,63.96
Caballito,6,NA,2014,Abr,NA,3+ ambientes,4931,65.74666666666667
Caballito,6,2014-05-01,2014,May,2,3+ ambientes,4510,60.13333333333333
Caballito,6,NA,2014,Jun,NA,3+ ambientes,4917,65.56
Caballito,6,NA,2014,Jul,NA,3+ ambientes,5050,67.33333333333333
Caballito,6,NA,2014,Ago,NA,3+ ambientes,5604,74.72
Caballito,6,NA,2014,Sep,NA,3+ ambientes,5661,75.48
Caballito,6,NA,2014,Oct,NA,3+ ambientes,4942,65.89333333333333
Caballito,6,NA,2014,Nov,NA,3+ ambientes,5823,77.64
Caballito,6,NA,2014,Dic,NA,3+ ambientes,5696,75.94666666666667
Caballito,6,NA,2015,Ene,NA,3+ ambientes,5923,78.97333333333333
Caballito,6,NA,2015,Feb,NA,3+ ambientes,5977,79.69333333333333
Caballito,6,NA,2015,Mar,NA,3+ ambientes,6274,83.65333333333334
Caballito,6,NA,2015,Abr,NA,3+ ambientes,6699,89.32
Caballito,6,2015-05-01,2015,May,2,3+ ambientes,7000,93.33333333333333
Caballito,6,NA,2015,Jun,NA,3+ ambientes,6640,88.53333333333333
Caballito,6,NA,2015,Jul,NA,3+ ambientes,6532,87.09333333333333
Caballito,6,NA,2015,Ago,NA,3+ ambientes,7000,93.33333333333333
Caballito,6,NA,2015,Sep,NA,3+ ambientes,7318,97.57333333333334
Caballito,6,NA,2016,Ene,NA,3+ ambientes,8395,111.93333333333334
Caballito,6,NA,2016,Feb,NA,3+ ambientes,7977,106.36
Caballito,6,NA,2016,Mar,NA,3+ ambientes,7899,105.32
Caballito,6,NA,2016,Abr,NA,3+ ambientes,8222,109.62666666666667
Caballito,6,2016-05-01,2016,May,2,3+ ambientes,8846,117.94666666666667
Caballito,6,NA,2016,Jun,NA,3+ ambientes,9381,125.08
Caballito,6,NA,2016,Jul,NA,3+ ambientes,9024,120.32
Caballito,6,NA,2016,Ago,NA,3+ ambientes,9846,131.28
Caballito,6,NA,2016,Sep,NA,3+ ambientes,9571,127.61333333333333
Caballito,6,NA,2016,Oct,NA,3+ ambientes,9569,127.58666666666667
Caballito,6,NA,2016,Nov,NA,3+ ambientes,10078,134.37333333333333
Caballito,6,NA,2016,Dic,NA,3+ ambientes,11147,148.62666666666667
Caballito,6,NA,2017,Ene,NA,3+ ambientes,11119,148.25333333333333
Caballito,6,NA,2017,Feb,NA,3+ ambientes,11074,147.65333333333334
Caballito,6,NA,2017,Mar,NA,3+ ambientes,11157,148.76
Caballito,6,NA,2017,Abr,NA,3+ ambientes,11385,151.8
Caballito,6,2017-05-01,2017,May,2,3+ ambientes,11655,155.4
Caballito,6,NA,2017,Jun,NA,3+ ambientes,12134,161.78666666666666
Caballito,6,NA,2017,Jul,NA,3+ ambientes,11945,159.26666666666668
Caballito,6,NA,2017,Ago,NA,3+ ambientes,13166,175.54666666666665
Caballito,6,NA,2017,Sep,NA,3+ ambientes,12787,170.49333333333334
Caballito,6,NA,2017,Oct,NA,3+ ambientes,12522,166.96
Caballito,6,NA,2017,Nov,NA,3+ ambientes,13409,178.78666666666666
Caballito,6,NA,2017,Dic,NA,3+ ambientes,14446,192.61333333333334
Caballito,6,NA,2018,Ene,NA,3+ ambientes,15787,210.49333333333334
Caballito,6,NA,2018,Feb,NA,3+ ambientes,15874,211.65333333333334
Caballito,6,NA,2018,Mar,NA,3+ ambientes,16036,213.81333333333333
Caballito,6,NA,2018,Abr,NA,3+ ambientes,16476,219.68
Caballito,6,2018-05-01,2018,May,2,3+ ambientes,16039,213.85333333333332
Caballito,6,NA,2018,Jun,NA,3+ ambientes,16052,214.02666666666667
Caballito,6,NA,2018,Jul,NA,3+ ambientes,16962,226.16
Caballito,6,NA,2018,Ago,NA,3+ ambientes,16978,226.37333333333333
Caballito,6,NA,2018,Sep,NA,3+ ambientes,17740,236.53333333333333
Caballito,6,NA,2018,Oct,NA,3+ ambientes,18024,240.32
Caballito,6,NA,2018,Nov,NA,3+ ambientes,17711,236.14666666666668
Caballito,6,NA,2018,Dic,NA,3+ ambientes,18658,248.77333333333334
Caballito,6,NA,2019,Ene,NA,3+ ambientes,20913,278.84
Caballito,6,NA,2019,Feb,NA,3+ ambientes,19172,255.62666666666667
Caballito,6,NA,2019,Mar,NA,3+ ambientes,18434,245.78666666666666
Caballito,6,NA,2019,Abr,NA,3+ ambientes,19154,255.38666666666666
Caballito,6,2019-05-01,2019,May,2,3+ ambientes,21116,281.5466666666667
Caballito,6,NA,2019,Jun,NA,3+ ambientes,21677,289.02666666666664
Caballito,6,NA,2019,Jul,NA,3+ ambientes,22266,296.88
Caballito,6,NA,2019,Ago,NA,3+ ambientes,22576,301.0133333333333
Chacarita,15,NA,2013,Oct,NA,3+ ambientes,4762,63.49333333333333
Chacarita,15,NA,2013,Nov,NA,3+ ambientes,5499,73.32
Chacarita,15,NA,2016,Dic,NA,3+ ambientes,14159,188.78666666666666
Colegiales,13,NA,2013,Sep,NA,3+ ambientes,4536,60.48
Colegiales,13,NA,2013,Oct,NA,3+ ambientes,4569,60.92
Colegiales,13,NA,2017,Oct,NA,3+ ambientes,14430,192.4
Colegiales,13,NA,2018,Jul,NA,3+ ambientes,17908,238.77333333333334
Colegiales,13,NA,2018,Ago,NA,3+ ambientes,18504,246.72
Flores,7,NA,2013,Jul,NA,3+ ambientes,3715,49.53333333333333
Flores,7,NA,2013,Ago,NA,3+ ambientes,3472,46.29333333333334
Flores,7,NA,2013,Sep,NA,3+ ambientes,3726,49.68
Flores,7,NA,2013,Oct,NA,3+ ambientes,3851,51.346666666666664
Flores,7,NA,2013,Nov,NA,3+ ambientes,3968,52.906666666666666
Flores,7,NA,2013,Dic,NA,3+ ambientes,3992,53.22666666666667
Flores,7,2014-05-01,2014,May,2,3+ ambientes,4230,56.4
Flores,7,NA,2014,Jun,NA,3+ ambientes,4314,57.52
Flores,7,NA,2014,Jul,NA,3+ ambientes,4641,61.88
