barrio,comuna,fecha,ano,trimestre,ambientes_cat,estado_cat,precio_prom,precio_m2_estimado
Agronomia,15,2016-01-01,2016,1,1-2 ambientes,Usado,2018,44844.444444444445
Agronomia,15,2016-04-01,2016,2,1-2 ambientes,Usado,2032,45155.555555555555
Agronomia,15,2016-07-01,2016,3,1-2 ambientes,Usado,2095,46555.555555555555
Agronomia,15,2016-10-01,2016,4,1-2 ambientes,Usado,2052,45600
Agronomia,15,2017-01-01,2017,1,1-2 ambientes,Usado,2140,47555.555555555555
Agronomia,15,2017-04-01,2017,2,1-2 ambientes,Usado,2203,48955.555555555555
Agronomia,15,2017-07-01,2017,3,1-2 ambientes,Usado,2303,51177.77777777778
Almagro,5,2010-01-01,2010,1,1-2 ambientes,Usado,1574,34977.77777777778
Almagro,5,2010-04-01,2010,2,1-2 ambientes,Usado,1610,35777.77777777778
Almagro,5,2010-07-01,2010,3,1-2 ambientes,Usado,1665,37000
Almagro,5,2010-10-01,2010,4,1-2 ambientes,Usado,1809,40200
Almagro,5,2011-01-01,2011,1,1-2 ambientes,Usado,1783,39622.22222222222
Almagro,5,2011-04-01,2011,2,1-2 ambientes,Usado,1774,39422.22222222222
Almagro,5,2011-07-01,2011,3,1-2 ambientes,Usado,1868,41511.11111111111
Almagro,5,2011-10-01,2011,4,1-2 ambientes,Usado,2020,44888.88888888889
Almagro,5,2012-01-01,2012,1,1-2 ambientes,Usado,2024,44977.77777777778
Almagro,5,2012-04-01,2012,2,1-2 ambientes,Usado,2088,46400
Almagro,5,2012-07-01,2012,3,1-2 ambientes,Usado,1974,43866.666666666664
Almagro,5,2012-10-01,2012,4,1-2 ambientes,Usado,2117,47044.444444444445
Almagro,5,2013-01-01,2013,1,1-2 ambientes,Usado,2386,53022.22222222222
Almagro,5,2013-04-01,2013,2,1-2 ambientes,Usado,2296,51022.22222222222
Almagro,5,2013-07-01,2013,3,1-2 ambientes,Usado,2196,48800
Almagro,5,2013-10-01,2013,4,1-2 ambientes,Usado,2154,47866.666666666664
Almagro,5,2014-01-01,2014,1,1-2 ambientes,Usado,2115,47000
Almagro,5,2014-04-01,2014,2,1-2 ambientes,Usado,2130,47333.333333333336
Almagro,5,2014-07-01,2014,3,1-2 ambientes,Usado,2046,45466.666666666664
Almagro,5,2014-10-01,2014,4,1-2 ambientes,Usado,2172,48266.666666666664
Almagro,5,2015-01-01,2015,1,1-2 ambientes,Usado,2075,46111.11111111111
