fecha,año,mes,monto_uva,var_mensual,var_anual
2016-05-01,2016,5,2075,NA,NA
2016-06-01,2016,6,14247,586.602409638554,NA
2016-07-01,2016,7,35622,150.031585596968,NA
2016-08-01,2016,8,127181,257.029363876256,NA
2016-09-01,2016,9,238335,87.3982748995526,NA
2016-10-01,2016,10,394258,65.4217802672709,NA
2016-11-01,2016,11,465059,17.9580376301812,NA
2016-12-01,2016,12,819470,76.2077499844106,NA
2017-01-01,2017,1,590482,-27.943426849061,NA
2017-02-01,2017,2,743757,25.9576075138616,NA
2017-03-01,2017,3,1143646,53.7660822015793,NA
2017-04-01,2017,4,1249687,9.27218737266602,NA
2017-05-01,2017,5,1645988,31.7120206899808,79224.7228915663
2017-06-01,2017,6,2628317,59.6802042299215,18348.2136590159
2017-07-01,2017,7,3991791,51.8763147672065,11105.9710291393
2017-08-01,2017,8,6068514,52.024842984014,4671.55707220418
2017-09-01,2017,9,7326432,20.7286001152836,2974.00591604255
2017-10-01,2017,10,8266415,12.8300242191561,1996.7019058586
2017-11-01,2017,11,9138866,10.5541640481394,1865.09819184233
2017-12-01,2017,12,11465627,25.4600625504302,1299.15152476601
2018-01-01,2018,1,9497784,-17.1629776548635,1508.47985205307
2018-02-01,2018,2,9442986,-0.576955635124998,1169.63322698139
2018-03-01,2018,3,13937228,47.5934413118901,1118.66626561016
2018-04-01,2018,4,13219732,-5.14805383107746,957.843443998377
2018-05-01,2018,5,10597384,-19.8366199859422,543.831182244342
2018-06-01,2018,6,5572805,-47.4133899460471,112.02940893355
2018-07-01,2018,7,4932757,-11.4852035913692,23.5725267179569
2018-08-01,2018,8,5122669,3.85001734324233,-15.5861055935605
2018-09-01,2018,9,3419301,-33.2515725689089,-53.3292467602238
2018-10-01,2018,10,3229435,-5.55277233563234,-60.9330646961228
2018-11-01,2018,11,2975802,-7.85378866581925,-67.4379512731667
2018-12-01,2018,12,2692428,-9.52260936715548,-76.5173941207053
2019-01-01,2019,1,2378753,-11.6502651138675,-74.9546525800124
2019-02-01,2019,2,2101543,-11.6535848824994,-77.7449315290735
2019-03-01,2019,3,2128531,1.28419927643642,-84.7277306506
2019-04-01,2019,4,2410731,13.2579699332544,-81.7641462020561
2019-05-01,2019,5,2627608,8.99631688479552,-75.2051260952703
2019-06-01,2019,6,1780417,-32.2419097521396,-68.0516903067665
2019-07-01,2019,7,1693802,-4,86487154413825
2019-08-01,2019,8,2039819,20,4284207953468
2019-09-01,2019,9,2294553,12,4880687943391
2019-10-01,2019,10,1927071,-16,15406922394
2019-11-01,2019,11,1787422,-7,24669718967283
2019-12-01,2019,12,1505629,-15,7653312983727
2020-01-01,2020,1,767990,-48,9920823788596
2020-02-01,2020,2,615974,-19,7940077344757
2020-03-01,2020,3,372538,-39,5204992418511
2020-04-01,2020,4,58179,-84,3830696465864
2020-05-01,2020,5,200610,244,815139483319
2020-06-01,2020,6,260152,29,6804745526145
2020-07-01,2020,7,181285,-30,3157384913435
2020-08-01,2020,8,177953,-1,83798990539758
2020-09-01,2020,9,292315,64,2652835299208
2020-10-01,2020,10,268427,-8,17200622616014
2020-11-01,2020,11,311425,16,185078252188
2020-12-01,2020,12,264095,-15,1978807096412
2021-01-01,2021,1,249395,-5,56617883716088
2021-02-01,2021,2,131865,-47,1260450289701
2021-03-01,2021,3,930453,605,610283244227
2021-04-01,2021,4,1136283,22,1214827616226
