ano,mes,tipo_cambio_promedio,tipo_cambio_min,tipo_cambio_max,dias_en_mes,fecha_representativa,mes_nombre,fecha_mes
2013,1,7.368095238095238,6.91,7.92,21,2013-01-30,Jan,2013-01-01
2013,2,7.747058823529412,7.59,7.92,17,2013-02-28,Feb,2013-02-01
2013,3,8.084736842105263,7.82,8.75,19,2013-03-27,Mar,2013-03-01
2013,4,8.681,8.3,9.4,20,2013-04-30,Apr,2013-04-01
2013,5,9.280454545454546,8.43,10.45,22,2013-05-31,May,2013-05-01
2013,6,8.237222222222222,7.86,8.6,18,2013-06-28,Jun,2013-06-01
2013,7,8.354090909090909,7.93,8.75,22,2013-07-31,Jul,2013-07-01
2013,8,8.8885,8.54,9.41,20,2013-08-30,Aug,2013-08-01
2013,9,9.308571428571428,9.18,9.53,21,2013-09-30,Sep,2013-09-01
2013,10,9.759,9.53,10.05,20,2013-10-31,Oct,2013-10-01
2013,11,9.8425,9.57,9.99,20,2013-11-29,Nov,2013-11-01
2013,12,9.641578947368421,9.18,10,19,2013-12-30,Dec,2013-12-01
2014,1,11.537272727272727,10.17,13.06,22,2014-01-31,Jan,2014-01-01
2014,2,11.8995,11.25,12.55,20,2014-02-28,Feb,2014-02-01
2014,3,10.894444444444444,10.55,11.05,18,2014-03-31,Mar,2014-03-01
2014,4,10.51842105263158,10.28,10.8,19,2014-04-30,Apr,2014-04-01
2014,5,11.18,10.5,11.9,20,2014-05-30,May,2014-05-01
2014,6,11.83,11.4,12.4,20,2014-06-30,Jun,2014-06-01
2014,7,12.264545454545454,11.9,13,22,2014-07-31,Jul,2014-07-01
2014,8,13.320526315789474,12.7,14.38,19,2014-08-29,Aug,2014-08-01
2014,9,14.796818181818182,14,15.95,22,2014-09-30,Sep,2014-09-01
2014,10,14.781363636363636,14.28,15.6,22,2014-10-31,Oct,2014-10-01
2014,11,13.382631578947368,12.65,13.9,19,2014-11-28,Nov,2014-11-01
2014,12,13.086666666666666,12.7,13.8,18,2014-12-30,Dec,2014-12-01
2015,1,13.683333333333334,13.59,13.8,21,2015-01-30,Jan,2015-01-01
2015,2,13.14611111111111,12.85,13.38,18,2015-02-27,Feb,2015-02-01
2015,3,12.8385,12.62,13,20,2015-03-31,Mar,2015-03-01
2015,4,12.6255,12.38,12.84,20,2015-04-30,Apr,2015-04-01
2015,5,12.628421052631579,12.52,12.72,19,2015-05-29,May,2015-05-01
2015,6,12.931363636363637,12.62,13.57,22,2015-06-30,Jun,2015-06-01
2015,7,14.226818181818182,13.43,15.09,22,2015-07-31,Jul,2015-07-01
2015,8,15.2365,14.82,15.97,20,2015-08-31,Aug,2015-08-01
2015,9,15.754545454545454,15.45,16.06,22,2015-09-30,Sep,2015-09-01
2015,10,15.869523809523809,15.74,16.11,21,2015-10-30,Oct,2015-10-01
2015,11,15.153684210526317,14.45,15.63,19,2015-11-30,Nov,2015-11-01
