Fecha,Tipo de cambio
30/12/2019,"78,5"
27/12/2019,"78,5"
26/12/2019,80
23/12/2019,"76,75"
20/12/2019,75
19/12/2019,"75,75"
18/12/2019,76
17/12/2019,74
16/12/2019,"72,5"
13/12/2019,"66,75"
12/12/2019,"66,5"
11/12/2019,"68,5"
10/12/2019,"69,5"
9/12/2019,70
6/12/2019,71
05/12/2019,70
04/12/2019,69
03/12/2019,"68,5"
02/12/2019,"68,25"
29/11/2019,"69,25"
28/11/2019,"69,75"
27/11/2019,"69,25"
26/11/2019,"68,25"
25/11/2019,68
22/11/2019,"68,5"
21/11/2019,"66,75"
20/11/2019,"66,75"
19/11/2019,"66,5"
15/11/2019,"66,75"
14/11/2019,"66,75"
13/11/2019,"66,75"
12/11/2019,"65,5"
11/11/2019,"64,5"
8/11/2019,"65,25"
7/11/2019,64
6/11/2019,65
05/11/2019,"64,5"
04/11/2019,"65,5"
01/11/2019,"67,5"
31/10/2019,69
30/10/2019,67
29/10/2019,67
28/10/2019,74
25/10/2019,"75,75"
24/10/2019,"69,75"
23/10/2019,"69,75"
22/10/2019,"67,25"
21/10/2019,"66,25"
18/10/2019,"65,25"
17/10/2019,"67,5"
16/10/2019,"64,5"
15/10/2019,"63,5"
11/10/2019,"63,5"
10/10/2019,63
09/10/2019,"61,75"
08/10/2019,"61,5"
07/10/2019,"61,25"
04/10/2019,"61,25"
03/10/2019,61
02/10/2019,"61,5"
01/10/2019,"60,75"
30/09/2019,"61,25"
27/09/2019,"61,5"
26/09/2019,62
25/09/2019,"61,75"
24/09/2019,"61,75"
23/09/2019,"62,25"
20/09/2019,"62,75"
19/09/2019,63
18/09/2019,"62,75"
17/09/2019,62
16/09/2019,"61,5"
13/09/2019,"61,5"
12/09/2019,60
11/09/2019,59
10/09/2019,"58,75"
09/09/2019,59
06/09/2019,59
05/09/2019,59
04/09/2019,59
03/09/2019,61
02/09/2019,"63,5"
30/08/2019,63
29/08/2019,"60,75"
28/08/2019,"60,5"
27/08/2019,59
26/08/2019,"57,5"
23/08/2019,58
22/08/2019,58
21/08/2019,"58,5"
20/08/2019,58
16/08/2019,59
15/08/2019,59
14/08/2019,62
13/08/2019,57
12/08/2019,57
09/08/2019,"46,9"
08/08/2019,"46,72"
07/08/2019,"46,5"
06/08/2019,"46,4"
05/08/2019,"46,6"
02/08/2019,"45,9"
01/08/2019,"45,43"
31/07/2019,"45,2"
30/07/2019,"45,15"
29/07/2019,"45,15"
26/07/2019,"44,95"
25/07/2019,"44,95"
24/07/2019,"44,6"
23/07/2019,"44,25"
22/07/2019,"44,05"
19/07/2019,"43,95"
18/07/2019,"43,95"
17/07/2019,"44,2"
16/07/2019,"44,45"
15/07/2019,"43,75"
12/07/2019,"43,25"
11/07/2019,"43,2"
10/07/2019,"42,8"
05/07/2019,"42,9"
04/07/2019,"42,9"
03/07/2019,"43,05"
02/07/2019,"43,5"
01/07/2019,"43,45"
28/06/2019,"43,8"
27/06/2019,"44,2"
26/06/2019,"44,2"
25/06/2019,"44,1"
24/06/2019,"44,44"
21/06/2019,"44,5"
19/06/2019,"44,9"
18/06/2019,"45,15"
14/06/2019,"45,2"
13/06/2019,"45,3"
12/06/2019,"45,3"
11/06/2019,"45,5"
10/06/2019,"45,5"
07/06/2019,"45,7"
06/06/2019,"45,65"
05/06/2019,"45,6"
04/06/2019,46
03/06/2019,"46,1"
31/05/2019,46
30/05/2019,"45,9"
29/05/2019,"46,2"
28/05/2019,"46,2"
27/05/2019,"46,15"
24/05/2019,"46,15"
23/05/2019,"46,2"
22/05/2019,"46,1"
21/05/2019,"46,25"
20/05/2019,"46,35"
17/05/2019,"46,1"
16/05/2019,46
15/05/2019,46
14/05/2019,46
13/05/2019,46
10/05/2019,46
09/05/2019,46
08/05/2019,46
07/05/2019,46
06/05/2019,"46,5"
03/05/2019,"45,75"
02/05/2019,"46,25"
30/04/2019,46
29/04/2019,"45,07"
26/04/2019,"46,1"
25/04/2019,46
24/04/2019,"44,5"
23/04/2019,"44,15"
22/04/2019,"44,35"
17/04/2019,"43,45"
16/04/2019,"43,8"
15/04/2019,"43,5"
12/04/2019,"43,65"
11/04/2019,44
10/04/2019,44
09/04/2019,44
08/04/2019,44
05/04/2019,44
04/04/2019,"43,65"
03/04/2019,"43,5"
01/04/2019,"43,5"
29/03/2019,"43,65"
28/03/2019,"43,8"
27/03/2019,44
26/03/2019,"42,55"
25/03/2019,"41,9"
22/03/2019,"41,75"
21/03/2019,"41,25"
20/03/2019,"41,25"
19/03/2019,"41,25"
18/03/2019,41
15/03/2019,41
14/03/2019,41
13/03/2019,"41,5"
12/03/2019,"41,25"
11/03/2019,41
08/03/2019,41
07/03/2019,"42,5"
06/03/2019,"40,5"
01/03/2019,39
28/02/2019,39
27/02/2019,39
26/02/2019,"39,25"
25/02/2019,"38,75"
22/02/2019,"38,75"
21/02/2019,"39,25"
20/02/2019,"39,75"
19/02/2019,39
18/02/2019,"38,75"
15/02/2019,"38,75"
14/02/2019,"38,5"
13/02/2019,"38,25"
12/02/2019,38
11/02/2019,38
08/02/2019,"37,5"
07/02/2019,"37,75"
06/02/2019,"37,25"
05/02/2019,"37,3"
04/02/2019,"37,5"
01/02/2019,"37,75"
31/01/2019,"37,5"
30/01/2019,"38,25"
29/01/2019,"38,5"
28/01/2019,"38,25"
25/1/2019,"38,25"
24/1/2019,"38,5"
23/1/2019,39
22/1/2019,"38,75"
21/1/2019,"38,75"
18/1/2019,39
17/1/2019,39
16/1/2019,"39,25"
15/1/2019,"39,25"
14/1/2019,39
11/1/2019,"39,25"
10/1/2019,"39,25"
9/1/2019,"39,75"
08/01/2019,"39,25"
07/01/2019,"39,5"
04/01/2019,40
03/01/2019,"40,25"
02/01/2019,"40,5"
28/12/2018,"40,5"
27/12/2018,40
26/12/2018,"39,75"
21/12/2018,39
20/12/2018,39
19/12/2018,39
18/12/2018,"38,5"
17/12/2018,"38,5"
14/12/2018,"37,65"
13/12/2018,"37,65"
12/12/2018,"37,5"
11/12/2018,"37,5"
10/12/2018,"37,5"
07/12/2018,"37,5"
06/12/2018,"37,5"
05/12/2018,37
